id,region-de,region-en,region-es,region-fr,region-ja,region-ko,region-pt,region-ru,region-th,region-tr,region-vi,region-zh,region-aa
954,Riot LoL,Riot LoL,Riot LoL,Riot LoL,ライオット リーグ・オブ・レジェンド,라이엇 LoL,Riot,Riot LoL,ไรอ็อต แอลโอแอล,Riot LoL,Liên Minh Huyền Thoại Riot,拳头 英雄联盟,
955,Biathlon Männer,Biathlon,Biatlón,Biathlon,バイアスロン,바이애슬론,Biatlo,Биатлон. Мужчины,โอเวอร์ออล,Biatlon Erkekler,Tổng Hợp,男子冬季两项,
956,Biathlon Frauen,Biathlon Women,Biatlón Femenino,Biathlon féminin,バイアスロン女子,바이애슬론 여자,Biatlo Feminino,Биатлон. Женщины,โอเวอร์ออล ผู้หญิง,Biatlon Kadınlar,Tổng Hợp Nữ,女子冬季两项,
958,,Cross-country,,,,,,,,,,,
959,Skilanglauf Frauen,Cross-country Women,Cross-country Femenino,,クロスカントリー女子,,Esqui de Fundo Feminino,Лыжные гонки (Ж),ครอส คันทรี หญิง,Kayaklı Koşu Kadınlar,Tổng Hợp Nữ,女子越野滑雪,
960,Westindische Inseln,West Indies,Indias Occidentales,Indes occidentales,西インド諸島,서인도제도,Índias Ocidentais,Вест-Индия,เวสต์ อินดีส์,Batı Hint Adaları,Các Quốc Gia Phía Tây Ấn Độ Dương,西印度群岛,
962,Deutsche Tourenwagen Masters,DTM,DTM,,DTM,,DTM,ДТМ,DTM,DTM,Giải đua xe ô tô du lịch phổ thông Đức DTM,德国房车大师赛,
963,Superbike,Superbike,Superbike,,スーパーバイク,,Superbike,Супербайк,ซูเปอร์ไบก์,Superbike,Superbike,Superbike,
965,,Ski Jumping,,,,,,,,,,,
966,Bellator,Bellator,Bellator,Bellator,Bellator,벨라토르,Bellator,Bellator,เบลเลเตอร์,Bellator,Bellator,Bellator MMA,
967,ESEA CS:GO,ESEA CS:GO,ESEA CS:GO,ESEA CS:GO,ESEA CS:GO,ESEA CS:GO,ESEA CS:GO,ESEA CS:GO,อีเอสอีเอ ซีเอส:จีโอ,ESEA CS:GO,ESEA CS:GO,ESEA CS:GO,
968,Frauen,Women,Femenino,Femmes,女子,여자,Femininos,Женщины,หญิง,Kadınlar,Nữ,女子,
970,,Bikes,,,,,,,,,,,
972,Indycar,Indycar,Indycar,,インディカー,,Indycar,Индикар,อินดี้คาร์,Indycar,Indycar,印地赛车,
973,Moto2,Moto2,Moto2,Moto2,Moto2,모토2,Moto2,Мото2,โมโต3,Moto 2,Moto2,Moto2,
974,Moto3,Moto3,Moto3,Moto3,Moto3,모토2,Moto3,Мото3,โมโต3,Moto 3,Moto3,Moto3,
975,MotoGP,MotoGP,MotoGP,MotoGP,MotoGP,모토 그랑프리,MotoGP,Мото Гран-При,มอเตอร์จีพี,Moto GP,MotoGP,世界摩托车大奖赛,
976,,Martinique (French),,,,,,,,,,,
978,Simulated Reality,Simulated Reality,Simulated Reality,Simulated Reality,Simulated Reality,Simulated Reality,Realidade Simulada,Simulated Reality,Simulated Reality,Simulated Reality,Simulated Reality,Simulated Reality,
982,ESL CS:GO,ESL CS:GO,ESL CS:GO,ESL CS:GO,ESL CS:GO,ESL CS:GO,ESL CS:GO,ESL CS:GO,อีเอสแอล ซีเอส:จีโอ,ESL CS:GO,ESL CS:GO,ESL CS:GO,
983,,,,,,,,,,,,,
985,KSW,KSW,KSW,KSW,KSW,KSW,KSW,KSW,เคเอสดับบิว,KSW,KSW,KSW MMA,
986,Moon Studio Dota 2,Moon Studio Dota 2,Moon Studio Dota 2,,ムーンスタジオ Dota2,,Moon Studio Dota 2,Moon Studio Dota 2,มูน สตูดิโอ โดตา 2,Moon Studio Dota 2,Moon Studio Dota 2,月球工作室 刀塔2,
987,Ski Alpin Männer,Alpine,Esquí Alpino,Ski alpin,アルペン男子,알파인,Alpine Masculino,Горные лыжи (М),อัลไพน์ ผู้ชาย,Alp Disiplini Erkekler,Trượt Tuyết Nam,男子高山滑雪,
988,Ski Alpin Frauen,Alpine Women,Esquí Alpino Femenino,Ski alpin féminin,アルペン女子,알파인 여자,Geral Feminino,Горные лыжи (Ж),อัลไพน์ ผู้หญิง,Alp Disiplini Kadınlar,Tổng Hợp Nữ,女子高山滑雪,
989,Riesenslalom,Giant Slalom,Slalom Gigante,,大回転,,Slalom Gigante,Гигантский слалом (М),ไจแอนท์ สลาลม,Erkekler Büyük Slalom,Trượt tuyết hình chữ chi,大回转,
990,Riesenslalom Frauen,Giant Slalom Women,Slalom Gigante Femenino,Slalom géant Dames,大回転女子,자이언트 슬랄롬 여자,Slalom Gigante Feminino,Гигантский слалом (Ж),ไจแอนท์ สลาลม วูเมน,Kadınlar Büyük Slalom,Trượt tuyết hình chữ chi nữ,女子大回转,
991,Dreamhack CS:GO,Dreamhack CS:GO,Dreamhack CS:GO,,ドリームハック CS:GO,,Dreamhack CS:GO,Dreamhack CS:GO,ดรีมแฮค ซีเอส:จีโอ,Dreamhack CS:GO,Dreamhack CS:GO,Dreamhack CS:GO,
992,,,,,,,,,,,,,
993,One FC,One FC,One FC,,One FC,,One FC,One FC,วัน เอฟซี,One FC,One FC,One FC,
994,International Frauen,International Women,Femenino Internacional,,インターナショナル女子,,Internacional Feminino,Международный Женщины,อินเตอร์เนชันแนล วูเมน,Uluslararası Kadınlar,Nữ Thế Giới,国际女子,
996,BTS Dota2,BTS Dota2,Beyond the Summit Dota2,BTS Dota2,BTS Dota2,BTS 도타2,Beyond the Summit Dota2,BTS Dota2,บีทีเอส โดต้า2,BTS Dota2,BTS Dota2,BTS 刀塔2,
999,4D,4D,4D,4D,4D,4D,4D,4D,4D,4D,4D,4D,
1000,,Slalom Women,,,,,,,,,,,
1001,BLAST CS:GO,BLAST CS:GO,BLAST CS:GO,BLAST CS:GO,ブラスト CS:GO,발라스트 CS:GO,BLAST CS:GO,BLAST CS:GO,แบลสต์ ซีเอส:จีโอ,BLAST CS:GO,BLAST CS:GO,BLAST反恐精英：GO,
1002,China Dota2,China Dota2,Dota2 China,China Dota2,中国 Dota2,중국 도타2,China Dota2,Китай Dota2,ไซน่า โดต้า2,China Dota2,China Dota2,中国 刀塔2,
1003,Sprint,Sprint,Sprint,Sprint,スプリント,스프린트,Sprint,Спринт (М),สปรินท์,Erkekler Sprint,Nội dung ngắn,短跑,
1004,Sprint Frauen,Sprint Women,Sprint Femenino,Sprint Dames,スプリント女子,스프린트 여자,Sprint Feminino,Спринт (Ж),สปรินท์ วูเมน,Kadınlar Sprint,Nội dung ngắn nữ,女子短跑,
1006,OGA Dota2,OGA Dota2,Dota Pit Dota2,OGA Dota2,OGA Dota2,OGA 도타2,OGA Dota2,OGA Dota2,โอจีเอ โดต้า2,Dota Pit Dota2,Dota Pit Dota2,Dota Pit 刀塔2,
1007,,Super G Women,,,,,,,,,,,
1010,Super G,Super G,Super G,Super G,スーパー大回転,슈퍼 G,Super G,Супергигант (М),ซูเปอร์ จี,Erkekler Süper Büyük Slalom,Trượt tuyết đổ dốc Super G,Super G赛,
1011,Abfahrt,Downhill,Descenso,Descente,ダウンヒル,다운힐,Downhill,Скоростной спуск (М),ดาวน์ฮิลล์,Erkekler İniş Disiplini,Trượt tuyết đổ đèo,高山速降,
1012,,,,,,,,,,,,,
1013,Slalom,Slalom,Slalom,Slalom,回転,슬랄롬,Slalom,Слалом (М),สลาลม,Erkekler Slalom,Trượt tuyết chữ chi vượt chướng ngại vật,回转赛,
1014,Tencent LoL,Tencent LoL,Tencent LoL,Tencent LoL,テンセント リーグ・オブ・レジェンド,텐센트 LoL,Tencent,Tencent LoL,เทนเซนต์ แอลโอแอล,Tencent LoL,Liên Minh Huyền Thoại Tencent,腾讯 英雄联盟,
1015,,Music,,,,,,,,,,,
1016,,Downhill Women,,,,,,,,,,,
1019,Cyber Live Arena,Cyber Live Arena,Cyber Live Arena,Cyber Live Arena,Cyber Live Arena,Cyber Live Arena,CLA,Cyber Live Arena,Cyber Live Arena,Cyber Live Arena,Cyber Live Arena,Cyber Live Arena,
1024,,Esports Battle,,,,,,,,,,,
1025,,Entertainment,,,,,,,,,,,
1027,Skispringen Frauen,Ski Jumping Women,Salto de Esquí Femenino,Saut à ski Femmes,女子個人ノーマルヒル,스키점프 여자,Individual NH Feminino,Прыжки с трамплина. Женщины,สกี กระโดด หญิง,Kadınlar Bireysel Normal Tepe,Trượt tuyết nhảy cầu Nữ,女子跳台滑雪,
1028,Nordische Kombination,Nordic Combined,Combinada Nórdica,Combiné nordique,ノルディック複合,노르딕 복합,Geral,Северное двоеборье,โอเวอร์ออล,Kuzey Kombini Erkekler,Tổng Hợp,北欧越野滑雪,
1030,Davis Cup,Davis Cup,Copa Davis,Coupe Davis,デビスカップ,데이비스 컵,Taça Davis,Кубок Дэвиса,เดวิส คัพ,Davis Kupası,Davis Cup,戴维斯杯,
1031,Formel E,Formula E,Fórmula E,Formule E,フォーミュラE,포뮬러 E,Fórmula E,Формула Е,ฟอร์มูลา E,Formula E,Formula E,方程式E,
1033,,,,,,,,,,,,,
1034,,,,,,,,,,,,,
1035,ESL Dota2,ESL Dota2,ESL Dota2,ESL Dota2,ESL Dota2,ESL Dota2,ESL Dota2,ESL Dota2,อีเอสแอล โดต้า2,ESL Dota2,ESL Dota2,电子竞技联盟 刀塔2,
1036,Fortuna LoL,Fortuna LoL,Fortuna LoL,Fortuna LoL,フォルトゥナ リーグ・オブ・レジェンド,포르투나 LoL,Fortuna,Fortuna LoL,ฟอร์ทูน่า แอลโอแอล,Fortuna LoL,Liên Minh Huyền Thoại Fortuna,Fortuna 英雄联盟,
1037,,,,,,,,,,,,,
1038,,,,,,,,,,,,,
1039,ESL Dota2,ESL Dota2,ESL Dota2,ESL Dota2,ESL Dota2,ESL Dota2,ESL Dota2,ESL Dota2,อีเอสแอล โดต้า2,ESL Dota2,ESL Dota2,电子竞技联盟 刀塔2,
1040,LVP LoL,LVP LoL,LVP LoL,LVP LoL,LVP リーグ・オブ・レジェンド,LVP LoL,LVP,LVP LoL,แอลวีพี แอลโอแอล,LVP LoL,Liên Minh Huyền Thoại LVP,LVP 英雄联盟,
1041,,,,,,,,,,,,,
1042,,Wtl Sc2,,,,,,,,,,,
1043,,,,,,,,,,,,,
1044,LVP LoL,LVP LoL,LVP LoL,LVP LoL,LVP リーグ・オブ・レジェンド,LVP LoL,LVP,LVP LoL,แอลวีพี แอลโอแอล,LVP LoL,Liên Minh Huyền Thoại LVP,LVP 英雄联盟,
1045,One Esports,One Esports,One Esports Dota2,One Esports Dota2,ワンEスポーツ Dota2,원 E스포츠 도타2,One Esports Dota2,One Esports Dota2,วัน Eสปอร์ต โดตา 2,One Esports Dota2,One Esports Dota2,One Sports 刀塔2,
1046,One Esports,One Esports,One Esports Dota2,One Esports Dota2,ワンEスポーツ Dota2,원 E스포츠 도타2,One Esports Dota2,One Esports Dota2,วัน Eสปอร์ต โดตา 2,One Esports Dota2,One Esports Dota2,One Sports 刀塔2,
1048,,,,,,,,,,,,,
1049,,,,,,,,,,,,,
1050,,,,,,,,,,,,,
1052,,,,,,,,,,,,,
1066,Fortuna LoL,Fortuna LoL,Fortuna LoL,Fortuna LoL,フォルトゥナ リーグ・オブ・レジェンド,포르투나 LoL,Fortuna,Fortuna LoL,ฟอร์ทูน่า แอลโอแอล,Fortuna LoL,Liên Minh Huyền Thoại Fortuna,Fortuna 英雄联盟,
1100,Afreeca SC,Afreeca SC,Afreeca SC,Afreeca SC,アフリーカ スタークラフト,아프리카 SC,Afreeca SC,Afreeca SC,อะฟรีก้า เอสซี,Afreeca SC,Afreeca SC,Afreeca 星际争霸,
1198,,,,,,,,,,,,,
1199,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,
1200,PGL Dota2,PGL Dota2,PGL Dota2,PGL Dota2,PGL Dota2,PGL 도타2,PGL Dota2,PGL Dota2,พีจีแอล โดต้า2,PGL Dota2,PGL Dota2,PGL 刀塔2,
1201,Dreamhack Dota2,Dreamhack Dota2,Dreamhack Dota2,Dreamhack Dota2,ドリームハック Dota2,드림핵 도타2,Dreamhack Dota2,Dreamhack Dota2,ดรีมแฮค โดต้า2,Dreamhack Dota2,Dreamhack Dota2,Dreamhack 刀塔2,
1202,,,,,,,,,,,,,
1231,,,,,,,,,,,,,
1232,,,,,,,,,,,,,
1233,Federations Cup,Federation Cup,Copa Federación,Fed Cup,フェデレーションカップ,연맹 컵,Taça Fed,Кубок Федерации,เฟดเดอเรชั่น คัพ,Fed Kupası,Federation Cup,国际网球联合会杯,
1264,,,,,,,,,,,,,
1297,,,,,,,,,,,,,
1298,,,,,,,,,,,,,
1330,,,,,,,,,,,,,
1363,,,,,,,,,,,,,
1364,,,,,,,,,,,,,
1396,,,,,,,,,,,,,
1429,FACEIT CS:GO,FACEIT CS:GO,FACEIT CS:GO,FACEIT CS:GO,フェイスイット CS:GO,FACEIT CS:GO,FACEIT CS:GO,FACEIT CS:GO,เฟซอิท ซีเอส:จีโอ,FACEIT CS:GO,FACEIT CS:GO,FACEIT CS:GO,
1462,,,,,,,,,,,,,
1497,,,,,,,,,,,,,
1498,,,,,,,,,,,,,
1499,,,,,,,,,,,,,
1528,,,,,,,,,,,,,
1529,,,,,,,,,,,,,
1530,,,,,,,,,,,,,
1531,,,,,,,,,,,,,
1561,,,,,,,,,,,,,
1594,,,,,,,,,,,,,
1627,,,,,,,,,,,,,
1660,Meta,Meta,4Entertainment,4Entertainment,4Entertainment,4인터테인먼트,4Entertainment,4Entertainment,4 เอนเตอร์เทนเมนท์,4Entertainment,Meta,4Entertainment,
1694,,,,,,,,,,,,,
1695,,,,,,,,,,,,,
1696,,,,,,,,,,,,,
1697,WePlay Dota2,WePlay Dota2,WePlay,WePlay Dota2,WePlay Dota2,위플레이 도타2,WePlay Dota2,WePlay Dota2,วีเพลย์ โดต้า2,WePlay Dota2,WePlay Dota2,WePlay 刀塔2,
1726,Inygon,Inygon,Inygon,Inygon,イニゴン,Inygon,Inygon,Inygon,อิไนกอน,Inygon,Inygon,Inygon英雄联盟,
1759,Polsat LoL,Polsat LoL,Polsat LoL,Polsat LoL,ポルサット リーグ・オブ・レジェンド,폴사트 CS:GO,Polsat,Polsat LoL,โพลแซต แอลโอแอล,Polsat LoL,Liên Minh Huyền Thoại Polsat,Polsat 英雄联盟,
1792,,,,,,,,,,,,,
1825,,,,,,,,,,,,,
1858,Challengermode LoL,Challengermode LoL,Challengermode LoL,Challengermode LoL,チャレンジムード リーグ・オブ・レジェンド,챌린저모드 LoL,Challengermode,Challengermode LoL,ชาลเลนเจอร์โหมด แอลโอแอล,Challengermode LoL,Liên Minh Huyền Thoại Challengermode,Challengermode英雄联盟,
1891,,,,,,,,,,,,,
1924,Valve Dota2,Valve Dota2,Valve Dota2,Valve Dota2,Valve Dota2,밸브 도타2,Valve Dota2,Valve Dota2,วาล์ว โดต้า2,Valve Dota2,Valve Dota2,维尔福软件公司 刀塔2,
1957,,,,,,,,,,,,,
1990,,,,,,,,,,,,,
2023,,,,,,,,,,Spesiyaller ,,,
2056,,,,,,,,,,,,,
2124,,,,,,,,,,Etkinlik,,,
2127,,,,,,,,,,,,,
2133,,,,,,,,,,At Terbiyesi (dresaj),,,
2188,,,,,,,,,,Engel Atlama,,,
2222,,,,,,,,,,,,,
2225,,,,,,,,,,,,,
2226,,,,,,,,,,,,,
2353,,,,,,,,,,,,,
2386,,,,,,,,,,,,,
2419,,,,,,,,,,,,,
2485,,,,,,,,,,,,,
2518,,,,,,,,,,,,,
2551,Esportmilla CS:GO,Esportmilla CS:GO,Esportmilla CS:GO,Esportmilla CS:GO,eスポーツミラ CS:GO,이스포츠밀라 CS:GO,Esportmilla CS:GO,Esportmilla CS:GO,อีสปอร์ตมิลล่า ซีเอส:จีโอ,Esportmilla CS:GO,Esportmilla CS:GO,Esportmilla CS:GO,مسابقة اي سبورت ميلا للعبة كونتر ستريكGO
2584,,,,,,,,,,,,,
2617,,,,,,,,,,,,,
2683,,,,,,,,,,,,,
2716,,,,,,,,,,,,,
2749,,,,,,,,,,,,,
2782,,,,,,,,,,,,,
2815,,,,,,,,,,,,,
2816,,,,,,,,,,,,,
2848,,,,,,,,,,,,,
2881,NEST LoL,NEST LoL,NEST LoL,NEST LoL,ネスト リーグ・オブ・レジェンド,NEST LoL,NEST,NEST LoL,เอ็นอีเอสที แอลโอแอล,NEST LoL,Liên Minh Huyền Thoại NEST,全国电子竞技大赛 英雄联盟,لعبة ليج أف لجاندس نست Lol
2882,,,,,,,,,,,,,
2883,,,,,,,,,,,,,
2914,,,,,,,,,,,,,
2949,,,,,,,,,,,,,
2955,,,,,,,,,,,,,
2956,,,,,,,,,,,,,
2957,,,,,,,,,,,,,
2959,,,,,,,,,,,,,
2960,,,,,,,,,,,,,
2966,,,,,,,,,,,,,
2967,,,,,,,,,,,,,
2980,International,Olympics,Internacional,,ロシア,,Internacional,Международный,รัสเซีย,Uluslararası,Nga,俄罗斯,
3013,,,,,,,,,,,,,
3014,,,,,,,,,,,,,
3047,Freaks4u Gaming,Freaks4u Gaming,Freaks4u Gaming,Freaks4u Gaming,Freaks4u Gaming,Freaks4u Gaming,Freaks4u Gaming,Freaks4u Gaming,Freaks4u Gaming,Freaks4u Gaming,Freaks4u Gaming,Freaks4u Gaming,Freaks4u Gaming
3048,,,,,,,,,,,,,
3050,,,,,,,,,,,,,
3051,,,,,,,,,,,,,
3079,,,,,,,,,,,,,
3080,,,,,,,,,,,,,
3081,,,,,,,,,,,,,
3082,,,,,,,,,,,,,
3083,,,,,,,,,,,,,
3084,,,,,,,,,,,,,
3085,,,,,,,,,,,,,
3086,,,,,,,,,,,,,
3087,,,,,,,,,,,,,
3088,,,,,,,,,,,,,
3089,,,,,,,,,,,,,
3090,,,,,,,,,,,,,
3091,,,,,,,,,,,,,
3092,,,,,,,,,,,,,
3093,,,,,,,,,,,,,
3094,,,,,,,,,,,,,
3095,,,,,,,,,,,,,
3096,,,,,,,,,,,,,
3097,,,,,,,,,,,,,
3100,,,,,,,,,,,,,
3101,,,,,,,,,,,,,
3102,,,,,,,,,,,,,
3103,,,,,,,,,,,,,
3178,,,,,,,,,,,,,
3277,,,,,,,,,,,,,
3310,Sef,SEF,Sef,Sef,Sef,Sef,Sef,Sef,Sef,Sef,Sef,Sef,Sef
3376,,,,,,,,,,,,,
3475,,,,,,,,,,,,,
3476,,,,,,,,,,,,,
3477,,,,,,,,,,,,,
3548,,,,,,,,,,,,,
3551,,,,,,,,,,,,,
3805,,USA,,,,,,,,,,,
3839,,,,,,,,,,,,,
3908,,,,,,,,,,,,,
4003,,,,,,,,,,,,,
4135,,,,,,,,,,,,,
4201,,,,,,,,,,,,,
4300,,,,,,,,,,,,,
4366,,,,,,,,,,,,,
4399,,,,,,,,,,,,,
4432,Turismo Carretera,Turismo Carretera,Turismo Carretera,Turismo Carretera,Turismo Carretera,Turismo Carretera,Turismo Carretera,Turismo Carretera,Turismo Carretera,Turismo Carretera,Turismo Carretera,Turismo Carretera,Turismo Carretera
4465,,,,,,,,,,,,,
4498,,,,,,,,,,,,,
4564,,,,,,,,,,,,,
4597,,,,,,,,,,,,,
4795,,,,,,,,,,,,,
4663,,,,,,,,,,,,,
4731,,,,,,,,,,,,,
4828,,,,,,,,,,,,,
4829,,,,,,,,,,,,,
4830,,,,,,,,,,,,,
4831,,,,,,,,,,,,,
4832,,,,,,,,,,,,,
4833,,,,,,,,,,,,,
4834,,,,,,,,,,,,,
4835,,,,,,,,,,,,,
4836,,,,,,,,,,,,,
4837,,,,,,,,,,,,,
4861,,,,,,,,,,,,,
4862,,,,,,,,,,,,,
4927,,Fencing,,,,,Esgrima,,,Eskrim,,,
4928,,,,,,,,,,,,,
4929,,,,,,,,,,,,,
4960,,,,,,,Taekwondo,,,,,,
4961,,,,,,,,,,,,,
4962,,,,,,,,,,,,,
4993,,Judo,,,,,Judo,,,,,,
4996,,,,,,,,,,,,,
